,Name,Position,Number,Height,Academic Year,Hometown,Highschool,Weight,Year,Team
106,Matthew Gorham,TE,92, 6' 2'' ,Fr.,"Cheshire, CT",Cheshire,200 lbs,2010,football
107,Neal Rooney,DE,92, 6' 3'' ,Sr.,"Scituate, RI",LaSalle Academy,235 lbs,2010,football
108,Landon Turley,DE,93, 6' 3'' ,Jr.,"Alpine, CA",Granite Hills,245 lbs,2010,football
109,Stephen Fox,DL,94, 6' 2'' ,So.,"Winter Haven, FL",Lake Region,260 lbs,2010,football
110,William Rulifson,DL,95, 6' 1'' ,Sr.,"Walnut Creek, CA",Las Lomas,255 lbs,2010,football
111,Michael Yules,DE,96, 6' 4'' ,Fr.,"South Dartmouth, MA",Moses Brown,240 lbs,2010,football
112,Ross Walthall,DL,97, 6' 3'' ,So.,"Carmel, IN",Indianapolis Cathedral,275 lbs,2010,football
113,Clayton McGrath,DL,98, 6' 2'' ,Jr.,"Longmeadow, MA",Longmeadow,245 lbs,2010,football
114,Nathaniel Meyer,P/K,98, 6' 2'' ,So.,"Bettendorf, IA",Bettendorf,205 lbs,2010,football
115,Patxi Colbern,DE,99, 6' 4'' ,So.,"Anchorage, AK",South Anchorage,255 lbs,2010,football
0,Robert Gillett,OLB,1, 5' 11'' ,Sr.,"Los Angeles, CA",Palisades Charter High,215 lbs,2011,football
1,Robert Wickers,QB,1, 6' 1'' ,Fr.,"Portola Valley, CA",Menlo School,175 lbs,2011,football
2,Andrew Marks,TE,2, 6' 3'' ,So.,"Berlin, WI",Berlin,235 lbs,2011,football
3,Patrick Pakan,QB,2, 6' 0'' ,Sr.,"Tallmadge, OH",Tallmadge,205 lbs,2011,football
4,Stephen Peyton,DB,3, 6' 2'' ,Sr.,"Woodland, CA",Pioneer,210 lbs,2011,football
5,Kenny Newcomer,WR,4, 6' 0'' ,Sr.,"Oakton, VA",Gonzaga College HS,180 lbs,2011,football
6,Alexander Phelan,QB,5, 6' 1'' ,So.,"Walpole, MA",Xaverian Brothers,185 lbs,2011,football
7,Phillip Smith,DB,5, 5' 10'' ,Fr.,"Twinsburg, OH",St. Edward,185 lbs,2011,football
8,Jay Davis,DB,6, 5' 11'' ,Fr.,"Owings Mills, MD",Baltimore Lutheran,180 lbs,2011,football
9,Patrick Donnelly,QB,6, 6' 3'' ,Jr.,"Longmeadow, MA",Phillips Exeter Adacemy,185 lbs,2011,football
10,Benjamin Noury,DB,7, 5' 11'' ,Jr.,"Spring Hill, FL",FW Springstead,200 lbs,2011,football
11,Matthew Sudfeld,WR,7, 6' 0'' ,Sr.,"Modesto, CA",Modesto Christian,185 lbs,2011,football
12,Mel Farr,CB,8, 5' 9'' ,Sr.,"Bloomfield Hills, MI",Detroit Catholic Central,180 lbs,2011,football
13,John Ryan,QB,8, 6' 1'' ,Jr.,"Exton, PA",William Penn Charter,200 lbs,2011,football
14,Kyle Newhall-Caballero,QB,9, 6' 3'' ,Sr.,"Gilbert, AZ",Gilbert High School,210 lbs,2011,football
15,Matthew Shannon,DB,9, 6' 0'' ,So.,"Mayfield Heights, OH",Mayfield,175 lbs,2011,football
16,Reiley Higgins,WR,10, 6' 0'' ,Fr.,"Coto de Caza, CA",Santa Margarita,185 lbs,2011,football
17,Emory Polley,DB,10, 5' 9'' ,So.,"University Heights, OH",Cleveland Heights,165 lbs,2011,football
18,Brian Strachan,WR,11, 6' 1'' ,Fr.,"Wellesley, MA",St. Sebastian's,205 lbs,2011,football
19,AJ Cruz,DB,12, 5' 9'' ,Jr.,"Lake Forest, CA",Santa Margarita Catholic,190 lbs,2011,football
20,Anthony Franciosi,DB,13, 5' 10'' ,Jr.,"Easton, MA",Xaverian Brothers,190 lbs,2011,football
21,Stian Romberg,WR,13, 6' 5'' ,Fr.,"Maryville, TN",Maryville,205 lbs,2011,football
22,Daniel Casey,DB,14, 5' 10'' ,Jr.,"Springfield, PA",St. Joseph's Prep,185 lbs,2011,football
23,Nathan Lovett,WR,15, 6' 4'' ,Sr.,"East Providence, RI",East Providence,210 lbs,2011,football
24,Nicholas Lawley,QB,16, 6' 6'' ,Fr.,"Cincinnati, OH",Cincinnati Hills Christian,205 lbs,2011,football
25,Marcus Fuller,QB,17, 6' 0'' ,Fr.,"Ashland, OH",Ashland,215 lbs,2011,football
26,Henry Baker,P/K,18, 5' 9'' ,Fr.,"Greenwood Village, CO",Mullen,150 lbs,2011,football
27,Jimmy Saros,WR,18, 6' 2'' ,Sr.,"Grosse Pointe Park, MI",Grosse Pointe South,200 lbs,2011,football
28,Daniel Smithwick,OLB,19, 5' 10'' ,Sr.,"Danville, CA",San Ramon Valley,190 lbs,2011,football
29,John Spooney,RB,19, 5' 11'' ,So.,"Northfield, OH",Nordonia,175 lbs,2011,football
30,Patrick O'Neill,DB,20, 5' 10'' ,Fr.,"Honolulu, HI",Punahou School,170 lbs,2011,football
31,Jackson Freeman,FB,21, 5' 11'' ,Jr.,"Richmond, VA",St. Christopher's,240 lbs,2011,football
32,Adam Pelzer,DB,21, 6' 0'' ,Jr.,"Tipton, IA",Tipton,225 lbs,2011,football
33,Sam McGrath,OLB,22, 6' 2'' ,Sr.,"Longmeadow, MA",Longmeadow,205 lbs,2011,football
34,Nicholas Mizaur,RB,22, 5' 11'' ,So.,"Omaha, NE",Creighton Prep,195 lbs,2011,football
35,Robert Grebenc,RB,23, 5' 11'' ,Fr.,"Cleveland, OH",St. Ignatius,195 lbs,2011,football
36,Mark Kachmer,RB,25, 5' 11'' ,Jr.,"Wheaton, IL",St. Francis College Prep,195 lbs,2011,football
37,Thomas Uszakiewicz,DB,25, 5' 10'' ,So.,"Suffield, CT",Suffield Academy,175 lbs,2011,football
38,Eric Armagost,DB,26, 6' 1'' ,Fr.,"Fayetteville, GA",Starr's Mill,180 lbs,2011,football
39,Adam Persinger,WR,26, 5' 11'' ,Sr.,"Boggstown, IN",Triton Central,200 lbs,2011,football
40,Matthew O'Donnell,LB,27, 5' 11'' ,Sr.,"Tipton, IA",Tipton,230 lbs,2011,football
41,Brett Wyman,LB,28, 6' 1'' ,Sr.,"Bridgewater, MA",Bridgewater-Raynham,235 lbs,2011,football
42,Shane Cooney,OLB,29, 5' 11'' ,Sr.,"Mountain View, CA",Mt. View High School,200 lbs,2011,football
43,Matthew Billeci,DB,30, 5' 9'' ,So.,"Laguna Niguel, CA",Mater Dei,175 lbs,2011,football
44,Jordan Reisner,RB,31, 6' 1'' ,So.,"Highland Park, IL",Highland Park,205 lbs,2011,football
45,Jacob Supron,DB,31, 6' 0'' ,Fr.,"Mansfield, OH",Mansfield Senior,175 lbs,2011,football
46,Caleb Cragle,DB,32, 6' 0'' ,Fr.,"Everson, WA",Nooksack,195 lbs,2011,football
47,James Connelly,DB,33, 6' 1'' ,Fr.,"Stonington, CT",Stonington,205 lbs,2011,football
48,Jeffrey Izon,RB,33, 5' 8'' ,Jr.,"Odenton, MD",Landon School,170 lbs,2011,football
49,Russell Darrow,DB,34, 6' 1'' ,Jr.,"Hartland, WI",Arrowhead,200 lbs,2011,football
50,Dimitrius Burnett,LB,35, 6' 0'' ,Jr.,"Laveen, AZ",Cesar Chavez,200 lbs,2011,football
51,Blane Kleinrichert,RB,36, 6' 2'' ,Fr.,"Edgewater, MD",South River,205 lbs,2011,football
52,Stephen Zambetti,LB,37, 6' 0'' ,Jr.,"Germantown, TN",Germantown,225 lbs,2011,football
53,Nathanial Thomas,DB,38, 5' 10'' ,Sr.,"Seven Mile, OH",Edgewood,200 lbs,2011,football
54,Adewole Oyalowo,LB,39, 5' 8'' ,So.,"Bowie, MD",Woodberry Forest School,190 lbs,2011,football
55,Chesley Brooks,DB,41, 5' 10'' ,Fr.,"Pittsboro, NC",Jordan-Matthews,190 lbs,2011,football
56,Alexander Norocea,K,41, 5' 11'' ,So.,"Hermosa Beach, CA",Mira Costa,165 lbs,2011,football
57,Zachary Lattrell,LB,42, 6' 3'' ,So.,"West Newbury, MA",Central Catholic,205 lbs,2011,football
58,Cody Taulbee,FB,43, 6' 0'' ,So.,"Kettering, OH",Archbishop Alter,235 lbs,2011,football
59,Dillon Ingham,DL,44, 6' 2'' ,So.,"Fulton, NY",G. Ray Bodley,230 lbs,2011,football
60,Mark Hammer,OLB,45, 5' 10'' ,Sr.,"Chagrin Falls, OH",Chagrin Falls,200 lbs,2011,football
61,Reed Watne,DB,46, 5' 10'' ,Jr.,"Los Angeles, CA",Loyola,205 lbs,2011,football
62,Daniel Giovacchini,LB,48, 6' 3'' ,Fr.,"Acton, MA",Lawrence Academy,205 lbs,2011,football
63,Courtland Clavette,LB,50, 6' 3'' ,Fr.,"Asheville, NC",A.C. Reynolds,215 lbs,2011,football
64,Derrick Duquette,LB,51, 6' 1'' ,Sr.,"Plymouth, MA",Plymouth South High School,215 lbs,2011,football
65,Davis Feder,LB,52, 6' 1'' ,So.,"Woodstock, GA",The Walker School,235 lbs,2011,football
66,Zach Smerlas,DL,53, 6' 1'' ,Fr.,"Sudbury, MA",Lincoln Sudbury,270 lbs,2011,football
67,Kyle Rettig,DL,54, 6' 1'' ,Sr.,"Clearwater, FL",Clearwater Central Catholic,260 lbs,2011,football
68,Jeffrey Anderson,OL,55, 6' 2'' ,Fr.,"Longmeadow, MA",Longmeadow,265 lbs,2011,football
69,Victor Showalter,LB,56, 6' 0'' ,Rs.,"Charlotte, NC",Charlotte Country Day,205 lbs,2011,football
70,Jack Geiger,OL,57, 6' 2'' ,Sr.,"Whitefish Bay, WI",Marquette University High School,265 lbs,2011,football
71,Bradley Herzlich,LB,57, 6' 3'' ,So.,"Wayne, PA",Conestoga,195 lbs,2011,football
72,Ryan Davenport,DL,58, 6' 4'' ,Fr.,"Murfreesboro, TN",Blackman,225 lbs,2011,football
73,Matthew O'Brien,OL,59, 6' 1'' ,Fr.,"Bethesda, MD",Northfield Mt. Hermon,255 lbs,2011,football
74,Matthew Miller,OL,60, 6' 3'' ,Jr.,"Villa Hills, KY",Beechwood,275 lbs,2011,football
75,Evan Johnson,OL,61, 6' 1'' ,Sr.,"Kettering, OH",Archbishop Alter,280 lbs,2011,football
76,John Pfeiffer,DL,62, 6' 5'' ,Fr.,"Lindenhurst, IL",Lakes Community,240 lbs,2011,football
77,Daniel Austin,OL,63, 6' 3'' ,So.,"Franklin, TN",Phillips Academy,270 lbs,2011,football
78,Xavier Russo,LB,64, 6' 4'' ,Fr.,"San Francisco, CA",St. Ignatius College Prep,210 lbs,2011,football
79,Nathan Svensson,OL,65, 6' 2'' ,So.,"Provo, UT",Timpview,260 lbs,2011,football
80,Ryan McCourt,OL,66, 6' 4'' ,So.,"Scituate, MA",Boston College HS,285 lbs,2011,football
81,Austin Jennings,OL,67, 6' 2'' ,Fr.,"Summit, NJ",Summit,260 lbs,2011,football
82,Luke Landers,OL,68, 6' 3'' ,Sr.,"Friendswood, TX",Friendswood,285 lbs,2011,football
83,Nathan Bernstein,OL,70, 6' 2'' ,Jr.,"Charlotte, NC",Providence,275 lbs,2011,football
84,Cole Hooper,OL,71, 6' 4'' ,Jr.,"Oklahoma City, OK",Heritage Hall,280 lbs,2011,football
85,Dillon O'Carroll,DL,72, 6' 2'' ,Fr.,"Tulsa, OK",Booker T. Washington,280 lbs,2011,football
86,Malcolm Andry,OL,73, 6' 4'' ,Jr.,"New Orleans, LA",Jesuit,285 lbs,2011,football
87,Matthew Garofalo,OL,74, 6' 4'' ,Fr.,"Whitehouse Station, NJ",Hunterdon Central,285 lbs,2011,football
88,Nicholas Codrea,OL,75, 6' 3'' ,Fr.,"Tallmadge, OH",St. Vincent-St. Mary,275 lbs,2011,football
89,Clayton Paino,OL,76, 6' 3'' ,So.,"Tarpon Springs, FL",Tarpon Springs,270 lbs,2011,football
90,Abe Dube,OL,77, 6' 5'' ,Fr.,"Evanston, IL",Evanston Township,265 lbs,2011,football
91,Luke Miller,DL,78, 6' 3'' ,Sr.,"Bryn Mawr, PA",Episcopal Academy,220 lbs,2011,football
92,Jack Templeton,OL,79, 6' 3'' ,Jr.,"Ramsey, NJ",Don Bosco Prep,285 lbs,2011,football
93,Jordan Evans,WR,80, 6' 0'' ,So.,"Brentwood, TN",Brentwood,170 lbs,2011,football
94,Jonah Fay,WR,81, 6' 0'' ,Sr.,"Brookline, MA",Noble and Greenough School,170 lbs,2011,football
95,Alexander Harris,TE,82, 6' 4'' ,Jr.,"Needham, MA",Milton Academy,230 lbs,2011,football
96,Alexander Tounkara-Kone,WR,83, 6' 4'' ,Sr.,"Staten Island, NY",New Dorp,205 lbs,2011,football
97,Andrew Hansen,TE,84, 6' 4'' ,Fr.,"West Des Moines, IA",Valley,235 lbs,2011,football
98,Tellef Lundevall,WR,85, 6' 4'' ,Jr.,"Highland Park, IL",Phillips Andover Academy,210 lbs,2011,football
99,Nicholas Faber,TE,86, 6' 2'' ,Sr.,"Alamo, CA",San Ramon Valley,245 lbs,2011,football
100,Donald Sproal,TE,87, 6' 4'' ,So.,"Yorba Linda, CA",Valencia,230 lbs,2011,football
101,Brett Polacek,DL,88, 6' 6'' ,So.,"Providence, RI",Moses Brown &amp; Hotchkiss,250 lbs,2011,football
102,Alexander Viox,TE,89, 6' 5'' ,Fr.,"Cincinnati, OH",Elder,225 lbs,2011,football
103,Alexander Quoyeser,TE,90, 6' 4'' ,Fr.,"Houston, TX",Strake Jesuit,210 lbs,2011,football
104,John Bumpus,DL,91, 6' 3'' ,So.,"Concord, MA",Concord Carlisle,220 lbs,2011,football
105,Matthew Gorham,TE,92, 6' 2'' ,So.,"Cheshire, CT",Cheshire,200 lbs,2011,football
106,Zach Sparber,DL,93, 6' 3'' ,Fr.,"Norwood, NJ",Bergen Catholic,250 lbs,2011,football
107,Stephen Fox,DL,94, 6' 2'' ,Jr.,"Winter Haven, FL",Lake Region,260 lbs,2011,football
108,Michael Yules,DE,96, 6' 4'' ,So.,"South Dartmouth, MA",Moses Brown,240 lbs,2011,football
109,Ross Walthall,DL,97, 6' 3'' ,Jr.,"Carmel, IN",Indianapolis Cathedral,275 lbs,2011,football
110,Clayton McGrath,DL,98, 6' 2'' ,Sr.,"Longmeadow, MA",Longmeadow,245 lbs,2011,football
111,Nathaniel Meyer,P/K,98, 6' 2'' ,Jr.,"Bettendorf, IA",Bettendorf,205 lbs,2011,football
112,Conor Wyand,TE,98, 6' 3'' ,Fr.,"Stow, MA",Nashoba Regional,235 lbs,2011,football
113,Patxi Colbern,DE,99, 6' 4'' ,Jr.,"Anchorage, AK",South Anchorage,255 lbs,2011,football
0,Emory Polley,DB,1, 5' 9'' ,Jr.,"University Heights, OH",Cleveland Heights,165 lbs,2012,football
1,Zachary Kachmer,CB,2, 5' 9'' ,Fr.,"Denver, CO",Regis Jesuit,165 lbs,2012,football
2,Andrew Marks,TE,2, 6' 3'' ,Jr.,"Berlin, WI",Berlin,235 lbs,2012,football
3,Christopher Ogilvie,DB,3, 5' 9'' ,Fr.,"Huntington Beach, CA",Huntington Beach,195 lbs,2012,football
4,Andrew Coke,RB,4, 6' 1'' ,Fr.,"Andover, MA",Andover,210 lbs,2012,football
5,Alexander Phelan,QB,5, 6' 1'' ,Jr.,"Walpole, MA",Xaverian Brothers,185 lbs,2012,football
6,Jay Davis,DB,6, 5' 11'' ,So.,"Owings Mills, MD",Baltimore Lutheran,180 lbs,2012,football
7,Patrick Donnelly,QB,6, 6' 3'' ,Sr.,"Longmeadow, MA",Phillips Exeter Adacemy,200 lbs,2012,football
8,Justin Honce,QB,7, 6' 3'' ,Fr.,"East Patchogue, NY",Bellport,220 lbs,2012,football
9,Benjamin Noury,DB,7, 5' 11'' ,Sr.,"Spring Hill, FL",FW Springstead,200 lbs,2012,football
10,Quintin Rizek,WR/OLB,8, 6' 1'' ,Fr.,"Albuquerque, NM",St. Pius X,190 lbs,2012,football
11,John Ryan,QB,8, 6' 1'' ,Sr.,"Exton, PA",William Penn Charter,200 lbs,2012,football
12,Reiley Higgins,WR,10, 6' 0'' ,So.,"Coto de Caza, CA",Santa Margarita,185 lbs,2012,football
13,Brian Strachan,WR,11, 6' 1'' ,So.,"Wellesley, MA",St. Sebastian's,205 lbs,2012,football
14,AJ Cruz,DB,12, 5' 9'' ,Sr.,"Lake Forest, CA",Santa Margarita Catholic,190 lbs,2012,football
15,Anthony Franciosi,DB,13, 5' 10'' ,Sr.,"Easton, MA",Xaverian Brothers,190 lbs,2012,football
16,Daniel Casey,DB,14, 5' 10'' ,Sr.,"Springfield, PA",St. Joseph's Prep,185 lbs,2012,football
17,Seth Rosenbauer,QB,14, 6' 5'' ,Fr.,"Lima, OH",Shawnee,235 lbs,2012,football
18,Alson Paxton,WR,15, 6' 1'' ,Fr.,"Hayward, CA",Tennyson,185 lbs,2012,football
19,Nicholas Lawley,QB,16, 6' 6'' ,So.,"Cincinnati, OH",Cincinnati Hills Christian,205 lbs,2012,football
20,Marcus Fuller,QB,17, 6' 0'' ,So.,"Ashland, OH",Ashland,215 lbs,2012,football
21,Ryan MacDonald,OLB,17, 6' 1'' ,Fr.,"Falmouth, ME",Falmouth,200 lbs,2012,football
22,Michael Walsh,DB,18, 6' 2'' ,Fr.,"Swampscott, MA",Swampscott,205 lbs,2012,football
23,Michael Villapiano,QB,19, 6' 2'' ,Fr.,"Rumson, NJ",Cheshire Academy,225 lbs,2012,football
24,Patrick O'Neill,DB,20, 5' 10'' ,So.,"Honolulu, HI",Punahou School,170 lbs,2012,football
25,Marcus Tippens,RB,20, 6' 0'' ,Fr.,"Lovelock, NV",Pershing County,185 lbs,2012,football
26,Jackson Freeman,FB,21, 5' 11'' ,Sr.,"Richmond, VA",St. Christopher's,240 lbs,2012,football
27,Zachary Gillen,FS,21, 6' 1'' ,Fr.,"Mt. Brook, AL",Mt. Brook,175 lbs,2012,football
28,Adam Pelzer,DB,21, 6' 0'' ,Sr.,"Tipton, IA",Tipton,225 lbs,2012,football
29,Nicholas Mizaur,RB,22, 5' 11'' ,Jr.,"Omaha, NE",Creighton Prep,195 lbs,2012,football
30,Hershel Caywood,ILB,23, 5' 11'' ,Fr.,"Bradenton, FL",Manatee,210 lbs,2012,football
31,Robert Grebenc,RB,23, 5' 11'' ,So.,"Cleveland, OH",St. Ignatius,195 lbs,2012,football
32,Mark Kachmer,RB,25, 6' 0'' ,Sr.,"Wheaton, IL",St. Francis College Prep,200 lbs,2012,football
33,Thomas Uszakiewicz,DB,25, 5' 10'' ,Jr.,"Suffield, CT",Suffield Academy,175 lbs,2012,football
34,Eric Armagost,DB,26, 6' 1'' ,Jr.,"Fayetteville, GA",Starr's Mill,180 lbs,2012,football
35,Grant Senne,P/K/TE,27, 6' 6'' ,Fr.,"Winter Park, Fl",Trinity Prep,230 lbs,2012,football
36,Gabriel Gonzalez,DB,28, 5' 11'' ,Fr.,"Boca Raton, FL",Pine Crest,190 lbs,2012,football
37,John Howell,WR,29, 6' 3'' ,Fr.,"St. Louis, MO",Mary Inst. St. Louis Country Day,200 lbs,2012,football
38,Matthew Billeci,DB,30, 5' 9'' ,Jr.,"Laguna Niguel, CA",Mater Dei,175 lbs,2012,football
39,Caleb Cragle,DB,32, 6' 0'' ,So.,"Everson, WA",Nooksack,195 lbs,2012,football
40,James Connelly,DB,33, 6' 1'' ,So.,"Stonington, CT",Stonington,205 lbs,2012,football
41,Jeffrey Izon,RB,33, 5' 8'' ,Sr.,"Odenton, MD",Landon School,170 lbs,2012,football
42,Will Quigley,OLB,34, 6' 2'' ,Fr.,"Marblehead, MA",Marblehead,205 lbs,2012,football
43,Dimitrius Burnett,DE,35, 6' 0'' ,Sr.,"Laveen, AZ",Cesar Chavez,200 lbs,2012,football
44,Jacob Supron,DB,36, 6' 0'' ,So.,"Mansfield, OH",Mansfield Senior,175 lbs,2012,football
45,Chad Ginsburg,OLB,37, 5' 9'' ,So.,"Ft. Lauderdale, FL",Pinecrest School,190 lbs,2012,football
46,Stephen Zambetti,LB,37, 6' 0'' ,Sr.,"Germantown, TN",Germantown,225 lbs,2012,football
47,Phillip Smith,DB,38, 5' 10'' ,So.,"Twinsburg, OH",St. Edward,185 lbs,2012,football
48,Samuel Steffl,RB,38, 6' 2'' ,Fr.,"Sioux Falls, SD",O'Gorman,220 lbs,2012,football
49,Adewole Oyalowo,LB,39, 5' 8'' ,Jr.,"Bowie, MD",Woodberry Forest School,190 lbs,2012,football
50,Chesley Brooks,DB,41, 5' 10'' ,So.,"Pittsboro, NC",Jordan-Matthews,190 lbs,2012,football
51,Alexander Norocea,K,41, 5' 11'' ,Jr.,"Hermosa Beach, CA",Mira Costa,165 lbs,2012,football
52,Zachary Lattrell,LB,42, 6' 3'' ,Jr.,"West Newbury, MA",Central Catholic,205 lbs,2012,football
53,Cody Taulbee,FB,43, 6' 0'' ,Jr.,"Kettering, OH",Archbishop Alter,235 lbs,2012,football
54,William Twyman,ILB,43, 6' 2'' ,Fr.,"Sudbury, MA",Lincoln-Sudbury,230 lbs,2012,football
55,Jacob Walther,DL,44, 6' 4'' ,Fr.,"Pittsburgh, PA",Pittsburgh Central Catholic,250 lbs,2012,football
56,Reed Watne,DB,46, 5' 10'' ,Sr.,"Los Angeles, CA",Loyola,205 lbs,2012,football
57,Spiro Theodhosi,RB,47, 5' 10'' ,So.,"Londonderry, NH",Londonderry,215 lbs,2012,football
58,Daniel Giovacchini,LB,48, 6' 3'' ,So.,"Acton, MA",Lawrence Academy,205 lbs,2012,football
59,Courtland Clavette,LB,50, 6' 3'' ,So.,"Asheville, NC",A.C. Reynolds,215 lbs,2012,football
60,Andrew VanderWilden,OL,51, 6' 2'' ,Fr.,"Concord, MA",Concord-Carlisle,260 lbs,2012,football
61,Zach Smerlas,DL,53, 6' 1'' ,So.,"Sudbury, MA",Lincoln Sudbury,270 lbs,2012,football
62,John Bradford,OL,54, 6' 2'' ,Fr.,"West Chester, PA",Malvern Prep,285 lbs,2012,football
63,Jeffrey Anderson,OL,55, 6' 2'' ,Jr.,"Longmeadow, MA",Longmeadow,265 lbs,2012,football
64,Chad Berry,ILB,55, 6' 3'' ,Fr.,"East Lyme, CT",East Lyme,245 lbs,2012,football
65,Victor Showalter,LB,56, 6' 0'' ,Sr.,"Charlotte, NC",Charlotte Country Day,205 lbs,2012,football
66,Andrew Terry,OL,56, 6' 5'' ,Fr.,"Simi Valley, CA",Sierra Canyon,265 lbs,2012,football
67,Christopher Edwards,ILB,57, 6' 0'' ,Fr.,"Glastonbury, CT",Loomis Chaffee,193 lbs,2012,football
68,Ryan Davenport,DL,58, 6' 4'' ,So.,"Murfreesboro, TN",Blackman,225 lbs,2012,football
69,Matthew O'Brien,OL,59, 6' 1'' ,So.,"Bethesda, MD",Northfield Mt. Hermon,255 lbs,2012,football
70,Matthew Miller,OL,60, 6' 3'' ,Sr.,"Villa Hills, KY",Beechwood,275 lbs,2012,football
71,Conor Kruger,OL,61, 6' 2'' ,Fr.,"Sarasota, FL",Riverview,265 lbs,2012,football
72,John Pfeiffer,DL,62, 6' 5'' ,So.,"Lindenhurst, IL",Lakes Community,240 lbs,2012,football
73,Terrence Sinnott,OL,62, 6' 6'' ,Fr.,"Mattapoisett, MA",LaSalle Academy,250 lbs,2012,football
74,Daniel Austin,OL,63, 6' 3'' ,Sr.,"Franklin, TN",Phillips Academy,270 lbs,2012,football
75,Xavier Russo,LB,64, 6' 4'' ,So.,"San Francisco, CA",St. Ignatius College Prep,210 lbs,2012,football
76,Ryan McCourt,OL,66, 6' 4'' ,Jr.,"Scituate, MA",Boston College HS,285 lbs,2012,football
77,Austin Jennings,OL,67, 6' 2'' ,So.,"Summit, NJ",Summit,260 lbs,2012,football
78,John Heile,OL,68, 6' 3'' ,Fr.,"Louisville, KY",Trinity HS for Boys,275 lbs,2012,football
79,Nathan Bernstein,OL,70, 6' 2'' ,Sr.,"Charlotte, NC",Providence,275 lbs,2012,football
80,Cole Hooper,OL,71, 6' 4'' ,Sr.,"Oklahoma City, OK",Heritage Hall,280 lbs,2012,football
81,Ludovic Richardson,DL,72, 6' 2'' ,Fr.,"Killingworth, CT",Notre Dame,285 lbs,2012,football
82,Matthew Garofalo,OL,74, 6' 4'' ,So.,"Whitehouse Station, NJ",Hunterdon Central,285 lbs,2012,football
83,Nicholas Codrea,OL,75, 6' 3'' ,So.,"Tallmadge, OH",St. Vincent-St. Mary,275 lbs,2012,football
84,Clayton Paino,OL,76, 6' 3'' ,Jr.,"Tarpon Springs, FL",Tarpon Springs,270 lbs,2012,football
85,Abe Dube,OL,77, 6' 5'' ,So.,"Evanston, IL",Evanston Township,265 lbs,2012,football
86,Luke Miller,DL,78, 6' 4'' ,Sr.,"Bryn Mawr, PA",Episcopal Academy,240 lbs,2012,football
87,Jack Templeton,OL,79, 6' 3'' ,Sr.,"Ramsey, NJ",Don Bosco Prep,285 lbs,2012,football
88,Jordan Evans,WR,80, 6' 0'' ,Jr.,"Brentwood, TN",Brentwood,170 lbs,2012,football
89,Jonah Fay,WR,81, 6' 0'' ,Sr.,"Brookline, MA",Noble and Greenough School,170 lbs,2012,football
90,Alexander Harris,TE,82, 6' 4'' ,Sr.,"Needham, MA",Milton Academy,230 lbs,2012,football
91,Rakeem Marcelle,WR,83, 5' 11'' ,Fr.,"Vero Beach, FL",Vero Beach,170 lbs,2012,football
92,Andrew Hansen,TE,84, 6' 4'' ,So.,"West Des Moines, IA",Valley,235 lbs,2012,football
93,Tellef Lundevall,WR,85, 6' 4'' ,Sr.,"Highland Park, IL",Phillips Andover Academy,210 lbs,2012,football
94,Troy Doles,WR,86, 6' 0'' ,Fr.,"Saratoga, CA",Saratoga,170 lbs,2012,football
95,Stian Romberg,WR,86, 6' 5'' ,So.,"Maryville, TN",Maryville,205 lbs,2012,football
96,Brett Polacek,DL,88, 6' 6'' ,Jr.,"Providence, RI",Moses Brown &amp; Hotchkiss,250 lbs,2012,football
97,Alexander Viox,TE,89, 6' 5'' ,So.,"Cincinnati, OH",Elder,225 lbs,2012,football
98,Henry Bumpus,DL,90, 6' 6'' ,Fr.,"Concord, MA",Concord-Carlisle,230 lbs,2012,football
99,Alexander Quoyeser,TE,90, 6' 4'' ,So.,"Houston, TX",Strake Jesuit,210 lbs,2012,football
100,John Bumpus,DL,91, 6' 3'' ,Jr.,"Concord, MA",Concord Carlisle,220 lbs,2012,football
101,Matthew Gorham,TE,92, 6' 2'' ,Jr.,"Cheshire, CT",Cheshire,200 lbs,2012,football
102,Tim Hatfield,DL,92, 6' 6'' ,Fr.,"Albuquerque, NM",Volcano Vista,240 lbs,2012,football
103,Zach Sparber,DL,93, 6' 3'' ,So.,"Norwood, NJ",Bergen Catholic,250 lbs,2012,football
104,Stephen Fox,DL,94, 6' 2'' ,Sr.,"Winter Haven, FL",Lake Region,260 lbs,2012,football
105,Michael Yules,DE,96, 6' 4'' ,Jr.,"South Dartmouth, MA",Moses Brown,240 lbs,2012,football
106,Ross Walthall,DL,97, 6' 3'' ,Sr.,"Carmel, IN",Indianapolis Cathedral,275 lbs,2012,football
107,Nathaniel Meyer,P/K,98, 6' 2'' ,Sr.,"Bettendorf, IA",Bettendorf,205 lbs,2012,football
108,Jack Olson,DL,98, 6' 4'' ,Fr.,"Phoenix, AZ",Arcadia,240 lbs,2012,football
109,Conor Wyand,FB,98, 6' 3'' ,So.,"Stow, MA",Nashoba Regional,235 lbs,2012,football
110,Patxi Colbern,DE,99, 6' 4'' ,Sr.,"Anchorage, AK",South Anchorage,255 lbs,2012,football
0,Emory Polley,DB,1, 5' 9'' ,Sr.,"University Heights, OH",Cleveland Heights,175 lbs,2013,football
1,Zachary Kachmer,DB,2, 5' 9'' ,So.,"Denver, CO",Regis Jesuit,170 lbs,2013,football
2,Andrew Marks,TE,2, 6' 3'' ,Sr.,"Berlin, WI",Berlin,240 lbs,2013,football
